Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒀼,1203C,AI⠩/AI⠩/AI⠩,238,letter,EŠ16,EŠ16
𒀽,1203D,AI⠩/AI⠩/AI⠩crossingAI⠩/AI⠩/AI⠩,238,letter,ŠUŠUR2,ŠUŠUR2
𒀾,1203E,AI⠩2,238,letter,AŠ2,AŠ2
𒀿,1203F,AI⠩GAB,238,letter,AŠGAB,AŠGAB
𒁀,12040,BA,238,letter,porridge,porridge
𒁁,12041,BAD,238,letter,BAD,BAD
𒁂,12042,BAG3,238,letter,BAG3,BAG3
𒁃,12043,BAI⠡AR2,238,letter,BAḪAR2,BAḪAR2
𒁄,12044,BAL,238,letter,BAL,BAL
𒁅,12045,BAL/BAL,238,letter,BAL/BAL,BAL/BAL
𒁆,12046,BALAG,238,letter,DUB2,DUB2
𒁇,12047,BAR,238,letter,BAR,BAR
𒁈,12048,BARA2,238,letter,BARAG,BARAG
𒁉,12049,BI,238,letter,BE2,BE2
𒁊,1204A,BIxA,238,letter,BIxA,BIxA
𒁋,1204B,BIxGAR,238,letter,BIxGAR,BIxGAR
𒁌,1204C,BIxIGIgun⠘⠩,238,letter,BIxIGIgunû,BIxIGIgunû
𒁍,1204D,BU,238,letter,GID2,GID2
𒁎,1204E,BU/BUAB,238,letter,BU/BUAB,BU/BUAB
𒁏,1204F,BU/BUUN,238,letter,BU/BUUN,BU/BUUN
𒁐,12050,BUcrossingBU,238,letter,BUcrossingBU,BUcrossingBU
𒁑,12051,BULUG,238,letter,BULUG,BULUG
𒁒,12052,BULUG/BULUG,238,letter,BULUG/BULUG,BULUG/BULUG
𒁓,12053,BUR,559,letter,NIG2gunû,NIG2gunû
𒁔,12054,BUR2,238,letter,DU9,DU9
𒁕,12055,DA,238,letter,DU20,DU20
𒁖,12056,DAG,238,letter,PAR3,PAR3
𒁗,12057,DAGKISIM5xA+MAI⠩,238,letter,DAGKISIM5xA+MAŠ,DAGKISIM5xA+MAŠ
