"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒉤","74340","𒉤","12264","CUNEIFORM SIGN NUN LAGAR TIMES GAR","nun lagar[q~*]gar"
"𒉥","74341","𒉥","12265","CUNEIFORM SIGN NUN LAGAR TIMES MASH","nun lagar[q~*]mash"
"𒉦","74342","𒉦","12266","CUNEIFORM SIGN NUN LAGAR TIMES SAL","nun lagar[q~*]sal"
"𒉧","74343","𒉧","12267","CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL","nun lagar[q~*]sal[q~/]nun lagar[q~*]sal"
"𒉨","74344","𒉨","12268","CUNEIFORM SIGN NUN LAGAR TIMES USH","nun lagar[q~*]ush"
"𒉩","74345","𒉩","12269","CUNEIFORM SIGN NUN TENU","nun tenu"
"𒉪","74346","𒉪","1226A","CUNEIFORM SIGN NUN OVER NUN","nun[q~/]nun"
"𒉫","74347","𒉫","1226B","CUNEIFORM SIGN NUN CROSSING NUN","nun[q~&]nun"
"𒉬","74348","𒉬","1226C","CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR","nun[q~&]nun lagar[q~/]lagar"
"𒉭","74349","𒉭","1226D","CUNEIFORM SIGN NUNUZ","nunu"
"𒉮","74350","𒉮","1226E","CUNEIFORM SIGN NUNUZ AB2 TIMES ASHGAB","nunuz ab2[q~*]ashgab"
"𒉯","74351","𒉯","1226F","CUNEIFORM SIGN NUNUZ AB2 TIMES BI","nunuz ab2[q~*]bi"
"𒉰","74352","𒉰","12270","CUNEIFORM SIGN NUNUZ AB2 TIMES DUG","nunuz ab2[q~*]dug"
"𒉱","74353","𒉱","12271","CUNEIFORM SIGN NUNUZ AB2 TIMES GUD","nunuz ab2[q~*]gud"
"𒉲","74354","𒉲","12272","CUNEIFORM SIGN NUNUZ AB2 TIMES IGI GUNU","nunuz ab2[q~*]igi gunu"
"𒉳","74355","𒉳","12273","CUNEIFORM SIGN NUNUZ AB2 TIMES KAD3","nunuz ab2[q~*]kad3"
"𒉴","74356","𒉴","12274","CUNEIFORM SIGN NUNUZ AB2 TIMES LA","nunuz ab2[q~*]la"
"𒉵","74357","𒉵","12275","CUNEIFORM SIGN NUNUZ AB2 TIMES NE","nunuz ab2[q~*]ne"
"𒉶","74358","𒉶","12276","CUNEIFORM SIGN NUNUZ AB2 TIMES SILA3","nunuz ab2[q~*]sila3"
"𒉷","74359","𒉷","12277","CUNEIFORM SIGN NUNUZ AB2 TIMES U2","nunuz ab2[q~*]u2"
"𒉸","74360","𒉸","12278","CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI","nunuz kisim5[q~*]bi"
"𒉹","74361","𒉹","12279","CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI U","nunuz kisim5[q~*]bi u"
"𒉺","74362","𒉺","1227A","CUNEIFORM SIGN PA","pa"
"𒉻","74363","𒉻","1227B","CUNEIFORM SIGN PAD","pad"
