Character,Hex,Type,Name,Braille
𒍎,1234E,letter,URUxUD,URUxUD
𒍏,1234F,letter,BANshUR,BANshUR
𒍐,12350,letter,URUDU,URUDU
𒍑,12351,letter,URUDAxU,URUDAxU
𒍒,12352,letter,NITA,NITA
𒍓,12353,letter,UshxA,UshxA
𒍔,12354,letter,UshxKU,UshxKU
𒍕,12355,letter,UshxKUR,UshxKUR
𒍖,12356,letter,UshxTAK4,UshxTAK4
𒍗,12357,letter,Z,Z
𒍘,12358,letter,MuTU,MuTU
𒍙,12359,letter,UshUMX,UshUMX
𒍚,1235A,letter,UTUKI,UTUKI
𒍛,1235B,letter,UZ3,UZ3
𒍜,1235C,letter,UZ3xKASKAL,UZ3xKASKAL
𒍝,1235D,letter,UZU,UZU
𒍞,1235E,letter,ZA,ZA
𒍟,1235F,letter,AS4,AS4
𒍆,12346,letter,URUxKI,URUxKI
𒍄,12344,letter,URUxIM,URUxIM
𒌨,12328,letter,UNgunu,UNgunu
𒍃,12343,letter,URUxIGI,URUxIGI
𒌪,1232A,letter,URcrossingUR,URcrossingUR
𒌫,1232B,letter,URsheshig,URsheshig
𒌬,1232C,letter,UR2,UR2
𒌭,1232D,letter,UR2xA+HA,UR2xA+HA
𒌮,1232E,letter,UR2xA+NA,UR2xA+NA
𒌯,1232F,letter,UR2xAL,UR2xAL
𒌰,12330,letter,UR2xHA,UR2xHA
𒌱,12331,letter,UR2xNUN,UR2xNUN
𒌲,12332,letter,UR2xU2,UR2xU2
𒌳,12333,letter,UR2xU2+Ash,UR2xU2+Ash
𒌴,12334,letter,UR2xU2+BI,UR2xU2+BI
𒌵,12335,letter,UR4,UR4
𒌶,12336,letter,BUR/BUR,BUR/BUR
𒌷,12337,letter,URI3,URI3
𒌸,12338,letter,RI2,RI2
𒌹,12339,letter,URUxA,URUxA
𒌺,1233A,letter,URUxAshGAB,URUxAshGAB
𒌻,1233B,letter,UKKIN,UKKIN
𒌼,1233C,letter,URUxDUN,URUxDUN
𒌽,1233D,letter,URUxGA,URUxGA
𒌾,1233E,letter,URUxGAL,URUxGAL
𒌿,1233F,letter,URUxGAN2tenu,URUxGAN2tenu
𒍀,12340,letter,URUxGAR,URUxGAR
𒍁,12341,letter,URUxGU,URUxGU
𒍂,12342,letter,URUxHA,URUxHA
𒍠,12360,letter,ZAsquaredxKUR,ZAsquaredxKUR
𒍡,12361,letter,ZA3,ZA3
𒍢,12362,letter,ZAMX,ZAMX
𒍣,12363,letter,ZI2,ZI2
𒎀,12380,letter,KAxAsh3,KAxAsh3
𒎁,12381,letter,KAxGIsh,KAxGIsh
𒎂,12382,letter,KAxGUD,KAxGUD
𒎃,12383,letter,KAxHIxAsh2,KAxHIxAsh2
𒎄,12384,letter,KAxLUM,KAxLUM
𒎅,12385,letter,KAxPA,KAxPA
𒎆,12386,letter,KAxshUL,KAxshUL
𒎇,12387,letter,KAxTU,KAxTU
𒎈,12388,letter,KAxUR2,KAxUR2
𒎉,12389,letter,LAGABxGI,LAGABxGI
𒎊,1238A,letter,LU2shEshIGxBAD,LU2shEshIGxBAD
𒎋,1238B,letter,LU2xEsh2+LAL,LU2xEsh2+LAL
𒎌,1238C,letter,LU2xshU,LU2xshU
𒎍,1238D,letter,MEsh,MEsh
𒎎,1238E,letter,MUsh3xZA,MUsh3xZA
𒎏,1238F,letter,NA4,NA4
𒎐,12390,letter,NIN,NIN
𒎑,12391,letter,NIN9,NIN9
𒎒,12392,letter,NINDA2xBAL,NINDA2xBAL
𒎓,12393,letter,NINDA2xGI,NINDA2xGI
𒎔,12394,letter,NU11rotated90^,NU11rotated90^
𒎕,12395,letter,PEsh2,PEsh2
𒎖,12396,letter,PIR2,PIR2
𒎗,12397,letter,SAGxIGIgunu,SAGxIGIgunu
𒎘,12398,letter,TI2,TI2
𒍿,1237F,letter,KAxANshE,KAxANshE
𒍾,1237E,letter,HUsh,HUsh
𒍽,1237D,letter,GIG,GIG
𒍯,1236F,letter,ZUM,ZUM
𒍤,12364,letter,ZE1,ZE1
𒍥,12365,letter,ZI/ZI,ZI/ZI
𒍦,12366,letter,ZI3,ZI3
𒍧,12367,letter,ZIB,ZIB
𒍨,12368,letter,ZIBKABAtenu,ZIBKABAtenu
𒍩,12369,letter,ZIK,ZIK
𒍪,1236A,letter,ZIZ2,ZIZ2
𒍫,1236B,letter,SU,SU
𒍬,1236C,letter,ZU5,ZU5
𒍭,1236D,letter,ZU5xA,ZU5xA
𒍮,1236E,letter,ZUBUR,ZUBUR
𒍰,12370,letter,KAPELAMITE,KAPELAMITE
𒍼,1237C,letter,GE22,GE22
𒍱,12371,letter,ABxNUN,ABxNUN
𒍲,12372,letter,AB2xA,AB2xA
𒍳,12373,letter,AMARxKUG,AMARxKUG
𒍴,12374,letter,DAGKISIM5xU2+MAsh,DAGKISIM5xU2+MAsh
𒍵,12375,letter,DAG3,DAG3
𒍶,12376,letter,DIsh+shU,DIsh+shU
𒍷,12377,letter,DUBxshE,DUBxshE
𒍸,12378,letter,EZENxGUD,EZENxGUD
𒍹,12379,letter,EZENxshE,EZENxshE
𒍺,1237A,letter,GA2xAN+KAK+A,GA2xAN+KAK+A
𒍻,1237B,letter,GA2xAsh2,GA2xAsh2
𒌩,12329,letter,HUL,HUL
𒌧,12327,letter,KALAM,KALAM
𒊶,122B6,letter,shA3xU,shA3xU
𒋒,122D2,letter,shIMxSAL,shIMxSAL
𒋔,122D4,letter,shIR,shIR
𒋕,122D5,letter,shIRtenu,shIRtenu
𒋖,122D6,letter,shIR/shIRBUR/BUR,shIR/shIRBUR/BUR
𒋗,122D7,letter,GA2,GA2
𒋘,122D8,letter,shU,shU
𒋙,122D9,letter,shU/shU,shU/shU
𒋚,122DA,letter,shU2,shU2
𒋛,122DB,letter,shUBUR,shUBUR
𒋜,122DC,letter,MA,MA
𒋝,122DD,letter,SU4,SU4
𒋞,122DE,letter,SIG,SIG
𒋟,122DF,letter,MURGU,MURGU
𒋠,122E0,letter,SIG4/SIG4shU2,SIG4/SIG4shU2
𒋡,122E1,letter,SIG2,SIG2
𒋢,122E2,letter,SILA3,SILA3
𒋣,122E3,letter,KUsh,KUsh
𒋤,122E4,letter,SU/SU,SU/SU
𒋥,122E5,letter,BUgunu,BUgunu
𒋦,122E6,letter,SUD2,SUD2
𒋧,122E7,letter,SUHUR,SUHUR
𒋨,122E8,letter,shUM2,shUM2
𒋩,122E9,letter,SUMAsh,SUMAsh
𒋪,122EA,letter,SUR,SUR
𒋫,122EB,letter,SUR9,SUR9
𒋬,122EC,letter,TA,TA
𒋓,122D3,letter,shINIG,shINIG
𒋑,122D1,letter,shIMxMUG,shIMxMUG
𒌦,12326,letter,UMUMxPA,UMUMxPA
𒋐,122D0,letter,shIMxLUL,shIMxLUL
𒊷,122B7,letter,BIR6,BIR6
𒊸,122B8,letter,SAG9,SAG9
𒊹,122B9,letter,shAB6,shAB6
𒊺,122BA,letter,TI2,TI2
𒊻,122BB,letter,shE,shE
𒊼,122BC,letter,shEHU,shEHU
𒊽,122BD,letter,shE/shEGAD/GADGAR/GAR,shE/shEGAD/GADGAR/GAR
𒊾,122BE,letter,shE/shETAB/TABGAR/GAR,shE/shETAB/TABGAR/GAR
𒊿,122BF,letter,shEG9,shEG9
𒋀,122C0,letter,SUxA,SUxA
𒋁,122C1,letter,URI3,URI3
𒋂,122C2,letter,shEsh2,shEsh2
𒋃,122C3,letter,shEshLAM,shEshLAM
𒋄,122C4,letter,LAG,LAG
𒋅,122C5,letter,UMBISAG2,UMBISAG2
𒋆,122C6,letter,shIDxIM,shIDxIM
𒋇,122C7,letter,shIM,shIM
𒋈,122C8,letter,shIMxA,shIMxA
𒋉,122C9,letter,shIMxBAL,shIMxBAL
𒋊,122CA,letter,shIMxBULUG,shIMxBULUG
𒋋,122CB,letter,shIMxDIN,shIMxDIN
𒋌,122CC,letter,shIMxGAR,shIMxGAR
𒋍,122CD,letter,shIMxIGI,shIMxIGI
𒋎,122CE,letter,shIMxIGIgunu,shIMxIGIgunu
𒋏,122CF,letter,shIMxKUshU2,shIMxKUshU2
𒋭,122ED,letter,TA,TA
𒋮,122EE,letter,LAL3,LAL3
𒋯,122EF,letter,TAxMI,TAxMI
